location_uid,city_id,city_name,region_code,zip_code,source_system,active_flag
04128_04110,04128,MONTFURON,93,04110,insee_communes_bocp_2025,true
04129_04110,04129,MONTJUSTIN,93,04110,insee_communes_bocp_2025,true
04130_04230,04130,MONTLAUX,93,04230,insee_communes_bocp_2025,true
04132_04150,04132,MONTSALIER,93,04150,insee_communes_bocp_2025,true
04133_04170,04133,MORIEZ,93,04170,insee_communes_bocp_2025,true
04134_04250,04134,LA MOTTE DU CAIRE,93,04250,insee_communes_bocp_2025,true
04135_04360,04135,MOUSTIERS STE MARIE,93,04360,insee_communes_bocp_2025,true
04136_04170,04136,LA MURE ARGENS,93,04170,insee_communes_bocp_2025,true
04136_04170,04136,LA MURE ARGENS,93,04170,insee_communes_bocp_2025,true
04137_04250,04137,NIBLES,93,04250,insee_communes_bocp_2025,true
04138_04300,04138,NIOZELLES,93,04300,insee_communes_bocp_2025,true
04139_04200,04139,NOYERS SUR JABRON,93,04200,insee_communes_bocp_2025,true
04140_04200,04140,LES OMERGUES,93,04200,insee_communes_bocp_2025,true
04141_04230,04141,ONGLES,93,04230,insee_communes_bocp_2025,true
04142_04110,04142,OPPEDETTE,93,04110,insee_communes_bocp_2025,true
04143_04700,04143,ORAISON,93,04700,insee_communes_bocp_2025,true
04144_04120,04144,LA PALUD SUR VERDON,93,04120,insee_communes_bocp_2025,true
04144_04120,04144,LA PALUD SUR VERDON,93,04120,insee_communes_bocp_2025,true
04145_04200,04145,PEIPIN,93,04200,insee_communes_bocp_2025,true
04145_04200,04145,PEIPIN,93,04200,insee_communes_bocp_2025,true
04148_04120,04148,PEYROULES,93,04120,insee_communes_bocp_2025,true
04149_04310,04149,PEYRUIS,93,04310,insee_communes_bocp_2025,true
04150_05130,04150,PIEGUT,93,05130,insee_communes_bocp_2025,true
04151_04300,04151,PIERRERUE,93,04300,insee_communes_bocp_2025,true
04152_04860,04152,PIERREVERT,93,04860,insee_communes_bocp_2025,true
04154_05160,04154,PONTIS,93,05160,insee_communes_bocp_2025,true
04155_04420,04155,PRADS HAUTE BLEONE,93,04420,insee_communes_bocp_2025,true
04155_04420,04155,PRADS HAUTE BLEONE,93,04420,insee_communes_bocp_2025,true
04155_04420,04155,PRADS HAUTE BLEONE,93,04420,insee_communes_bocp_2025,true
04156_04700,04156,PUIMICHEL,93,04700,insee_communes_bocp_2025,true
04157_04410,04157,PUIMOISSON,93,04410,insee_communes_bocp_2025,true
