location_uid,city_id,city_name,region_code,zip_code,source_system,active_flag,longitude,latitude,geo_point
04099_04170,04099,LAMBRUISSE,93,04170,insee_communes_bocp_2025,true,6.4538,44.0484,POINT(6.4538 44.0484)
04101_04230,04101,LARDIERS,93,04230,insee_communes_bocp_2025,true,5.7228,44.0846,POINT(5.7228 44.0846)
04102_04340,04102,LE LAUZET UBAYE,93,04340,insee_communes_bocp_2025,true,6.4052,44.4255,POINT(6.4052 44.4255)
04104_04300,04104,LIMANS,93,04300,insee_communes_bocp_2025,true,5.7188,43.986,POINT(5.7188 43.986)
04106_04700,04106,LURS,93,04700,insee_communes_bocp_2025,true,5.878,43.9674,POINT(5.878 43.9674)
04107_04270,04107,MAJASTRES,93,04270,insee_communes_bocp_2025,true,6.2773,43.8937,POINT(6.2773 43.8937)
04108_04350,04108,MALIJAI,93,04350,insee_communes_bocp_2025,true,6.052,44.0392,POINT(6.052 44.0392)
04108_04510,04108,MALIJAI,93,04510,insee_communes_bocp_2025,true,6.052,44.0392,POINT(6.052 44.0392)
04109_04230,04109,MALLEFOUGASSE AUGES,93,04230,insee_communes_bocp_2025,true,5.8998,44.0766,POINT(5.8998 44.0766)
04110_04510,04110,MALLEMOISSON,93,04510,insee_communes_bocp_2025,true,6.1201,44.0432,POINT(6.1201 44.0432)
04111_04300,04111,MANE,93,04300,insee_communes_bocp_2025,true,5.7419,43.9426,POINT(5.7419 43.9426)
04112_04100,04112,MANOSQUE,93,04100,insee_communes_bocp_2025,true,5.7896,43.8293,POINT(5.7896 43.8293)
04113_04420,04113,MARCOUX,93,04420,insee_communes_bocp_2025,true,6.2818,44.1287,POINT(6.2818 44.1287)
04115_04240,04115,MEAILLES,93,04240,insee_communes_bocp_2025,true,6.6475,44.0432,POINT(6.6475 44.0432)
04116_04190,04116,LES MEES,93,04190,insee_communes_bocp_2025,true,5.9679,43.9956,POINT(5.9679 43.9956)
04118_04250,04118,MELVE,93,04250,insee_communes_bocp_2025,true,5.9895,44.3546,POINT(5.9895 44.3546)
04120_04530,04120,VAL D ORONAYE,93,04530,insee_communes_bocp_2025,true,6.8559,44.43,POINT(6.8559 44.43)
04120_04530,04120,VAL D ORONAYE,93,04530,insee_communes_bocp_2025,true,6.8559,44.43,POINT(6.8559 44.43)
04121_04270,04121,MEZEL,93,04270,insee_communes_bocp_2025,true,6.1799,43.9979,POINT(6.1799 43.9979)
04122_04510,04122,MIRABEAU,93,04510,insee_communes_bocp_2025,true,6.0826,44.0608,POINT(6.0826 44.0608)
